category,title,url
คมนาคม และโลจิสติกส์,ข้อมูลท่าเทียบเรือภายในประเทศไทย,https://data.go.th/DatasetDetail.aspx?id=1e10ba75-33d0-49cf-9c3c-643eea6ad7c8
เทคโนโลยีสารสนเทศ และการสื่อสาร,จำนวนประชากรอายุ 6 ปีขึ้นไป จำแนกตามการมีการใช้เครื่องมือ/อุปกรณ์เทคโนโลยีสารสนเทศ ทั่วราชอาณาจักร พ.ศ.2548-2557,https://data.go.th/DatasetDetail.aspx?id=64c4f848-f4f0-45a3-8e4e-fcfc45174ebd
เศรษฐกิจ การเงิน และอุตสาหกรรม,มูลค่าการชำระเงินทางอิเล็กทรอนิกส์ผ่านอุปกรณ์อย่างหนึ่งอย่างใด หรือผ่านทางเครือข่าย (e-Payment),https://data.go.th/DatasetDetail.aspx?id=b027e795-db1a-436b-9ed4-7c8c1db3e4d1
แผนที่,เส้นทางหลวงชนบท,https://data.go.th/DatasetDetail.aspx?id=d4d1becf-f514-4433-8028-b46c5949c3de
งบประมาณ และการใช้จ่ายของภาครัฐ,รายงานหน่วยจัดซื้อ,https://data.go.th/DatasetDetail.aspx?id=60547526-8ac2-4bcb-a46c-e918f98de387
เศรษฐกิจ การเงิน และอุตสาหกรรม,สีการใช้ประโยชน์อาคารในแผนที่การใช้อาคารมาตราส่วน 1:4000,https://data.go.th/DatasetDetail.aspx?id=7eece7a3-f5cf-4ed4-9533-37c9bad8d89e
สถานที่ การท่องเที่ยว และกีฬา,ผลการสำรวจความพึงพอใจด้านห้องน้ำสาธารณะ ของนักท่องเที่ยวชาวต่างประเทศที่เดินทางท่องเที่ยวในประเทศไทย,https://data.go.th/DatasetDetail.aspx?id=f8c0a77b-d335-4f11-af36-99fd10446b2c
สังคมและสวัสดิการ,อัตราการว่างงาน จำแนกตามเพศ ทั่วราชอาณาจักร พ.ศ.2548-2557,https://data.go.th/DatasetDetail.aspx?id=66ef03a6-91bf-4944-b7a2-c86aff6c1dba
เทคโนโลยีสารสนเทศ และการสื่อสาร,ผลการสำรวจพฤติกรรมผู้ใช้อินเทอร์เน็ตในประเทศไทย,https://data.go.th/DatasetDetail.aspx?id=6aa9b49a-84b3-4c30-8821-322c165efd29
สังคมและสวัสดิการ,รายงานการพัฒนาเด็กและเยาวชน ประจำปี 2557,https://data.go.th/DatasetDetail.aspx?id=720e74d0-c5c8-4515-a4ea-bbe0d53fcb79
เศรษฐกิจ การเงิน และอุตสาหกรรม,ปริมาณการชำระเงินผ่านระบบการชำระเงินและช่องทางต่าง ๆ,https://data.go.th/DatasetDetail.aspx?id=3e854263-62b7-4027-b303-ea7e152cae59
สาธารณสุข,ข้อมูลหน่วยงานบริการสุขภาพจังหวัดหนองคาย,https://data.go.th/DatasetDetail.aspx?id=a2292435-cebd-4aeb-a3e4-1224b4c5d454
เทคโนโลยีสารสนเทศ และการสื่อสาร,เขตพื้นที่บริการสถานีวิทยุกระจายเสียงแห่งประเทศไทย กรมประชาสัมพันธ์,https://data.go.th/DatasetDetail.aspx?id=69e0a38f-2b8f-4461-be2b-288d0213f0c8
คมนาคม และโลจิสติกส์,จำนวนรถจดทะเบียน (สะสม) ณ วันที่  30 มิถุนายน 2559,https://data.go.th/DatasetDetail.aspx?id=b1ffbd81-79ab-40f5-ad76-4cdb5d4cf404
พลังงาน ทรัพยากรธรรมชาติ และสิ่งแวดล้อม,ข้อมูลผลการตรวจวัดคุณภาพน้ำจากสถานีตรวจวัดคุณภาพน้ำอัตโนมัติแบบ real-time ของกรมควบคุมมลพิษ ในลุ่มน้ำเจ้าพระยา,https://data.go.th/DatasetDetail.aspx?id=a2ecd607-f38f-48ab-92b6-5af78287b3c3
พลังงาน ทรัพยากรธรรมชาติ และสิ่งแวดล้อม,แหล่งสิ่งแวดล้อมศิลปกรรมของประเทศไทย,https://data.go.th/DatasetDetail.aspx?id=3cf9541e-37c4-4153-878f-8c87d5f4c0a1
